Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor Unit,Station.Name,Latitude,Longitude
2011-01-31 10:12:16,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:13:29,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:14:37,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:15:35,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:16:43,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:17:39,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:18:43,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:19:33,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:20:25,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:21:19,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:22:19,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:23:30,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:26:16,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:27:11,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:28:12,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:29:24,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:30:32,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:31:28,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:32:33,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:33:23,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:33:41,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 10:34:15,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:35:09,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:36:11,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:37:25,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:38:35,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:39:35,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:40:48,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:41:56,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:42:53,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:43:59,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:44:53,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:45:51,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:46:59,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:47:56,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:49:02,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:49:55,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:50:54,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:52:02,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:52:59,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:54:05,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:54:59,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:55:57,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:57:05,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:58:04,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:59:12,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:00:09,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:01:15,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:02:10,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:03:10,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:05:24,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:06:13,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:07:02,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:08:41,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:09:32,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:10:26,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:11:26,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:13:39,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:13:57,VR2W-104197,A69-1303-63639,Ana,11237964,,,E1,-19.2893,146.87712
2011-01-31 11:17:26,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:18:35,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:19:33,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 11:22:47,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
